Genomic bins	Elos1_final_pure_reads	Elos10_final_pure_reads	Elos3_final_pure_reads	Elos12_final_pure_reads	Elos2_final_pure_reads	Elos7_final_pure_reads
bin.70	0.0	0.0	0.670167	0.0	0.0	0.386224
bin.223	0.105006	1.523144	0.006867	3.501769	5.663556	0.005019
bin.206	0.033189	0.003415	0.388768	0.016032	0.024469	1.060522
bin.36	0.08503	0.977313	0.441774	0.221263	1.667239	1.675602
bin.157	0.0	0.42488	0.0	1.885659	1.8535314999999999	0.0
bin.46	0.001355	0.321963	0.0	0.956939	1.07802	0.000479
bin.54	1.23552	0.901978	0.000454	0.006465	0.1569	0.002139
bin.248	0.731418	0.523264	0.017999	0.008532	3.828903	0.00797
bin.283	0.421908	0.825242	0.054908	0.008907	1.704451	0.096615
bin.43	2.487286	0.4065	0.042566	0.070806	5.633626	0.041961
bin.34	0.201984	7.994989	0.003099	0.191499	6.348204	0.001877
bin.13	0.063071	0.03779	0.0	25.698478	0.411676	0.0
bin.189	0.121671	0.390243	6.260861	0.027474	0.411852	0.954678
bin.278	0.395899	0.276422	2.420567	0.004821	0.014787	4.016796
bin.37	0.155408	0.165251	0.006745	0.713487	0.127273	1.087838
bin.25	0.158967	0.99127	0.0	0.0541765	0.365951	0.0
bin.121	0.41954	0.992768	0.385166	0.04219	0.253112	0.373793
bin.264	2.579133	7.719741	0.032987	0.199535	1.9757725	2.0038
bin.96	0.004264	2.191437	0.050129	0.067376	0.000894	0.108262
bin.81	1.165988	0.054532	0.018077	0.161312	1.600896	0.016486
bin.22	0.010372	1.576625	0.346177	0.012362	0.007358	0.248524
bin.251	1.853432	0.214885	27.559006	0.012955	0.102357	6.977005
bin.114	0.010497	0.054991	0.0	0.760504	1.877323	0.003866
bin.255	0.112622	1.139607	0.005821	3.969598	1.911894	0.075171
bin.261	0.017322	1.029869	0.0	1.862781	0.183615	0.0
bin.83	0.015547	4.317585	4.025565	0.0014	0.005105	0.399188
bin.138	0.003418	0.230452	0.0	5.220315	0.180524	0.001271
bin.141	0.245427	0.018698	0.00899	0.005147	2.933266	0.003238
bin.202	0.0	0.189063	0.0	0.018336	1.30725	0.0
bin.177	0.058909	0.82401	0.049497	0.0	0.001139	0.806222
bin.8	0.258637	0.944565	0.003842	0.084491	1.075812	0.088353
bin.148	0.867129	0.003902	0.608347	0.003158	0.249269	0.049268
bin.274	3.910918	0.0	1.830436	0.134249	0.228431	0.832218
bin.284	5.3839	2.66609	0.046385	2.209144	9.579169	0.118995
bin.220	0.008983	1.727132	0.0	0.015804	1.15864	0.000816
bin.12	13.684453	0.0	6.916349	0.027498	1.399497	2.986744
bin.207	2.212971	2.490215	0.008188	5.4057569999999995	9.532020500000002	0.282451
bin.1	0.053109	0.296008	0.766434	0.41692	0.687549	0.503882
bin.231	2.729024	0.022761	1.137534	0.133892	3.80214	0.729207
bin.222	0.112579	1.320186	0.006419	1.204242	6.357708	0.04187
bin.225	0.057732	3.955315	0.0	0.443826	0.421146	0.000332
bin.259	0.039661	0.01093	1.758657	0.008902	0.005336	0.462843
bin.26	0.154019	0.678271	4.589024	0.005062	0.051651	1.101046
bin.19	0.121222	0.021721	0.177725	0.003192	0.018193	2.833234
bin.205	0.427221	4.318761	0.0	0.0686525	0.159965	0.018377
bin.143	0.041799	0.069054	0.642795	0.003536	0.001224	1.96663
bin.53	0.1627	0.030645	0.003411	3.529139	0.261196	0.034519
bin.134	0.03696	0.14389	0.005507	0.000536	3.989842	0.001606
bin.84	0.263642	3.924097	0.000617	0.140067	0.207584	0.036843
bin.74	1.234392	0.357664	0.017078	0.012425	1.73375	0.223229
bin.108	0.248586	0.039517	10.942126	0.021704	0.535815	1.512172
bin.155	0.061784	0.02086	0.004072	0.389299	2.235615	0.000887
bin.24	0.086781	0.573641	2.628184	0.000451	0.001459	0.706284
bin.120	0.00839	1.38794	0.047292	0.0	0.07854	0.037613
bin.41	0.105698	0.795618	0.103763	0.002953	0.003536	0.822931
bin.10	0.008164	0.060523	0.0	22.143156	0.037356	0.000374
bin.229	1.259503	3.905565	0.00854	0.09231	1.169992	3.715349
bin.45	0.112826	0.885334	0.000674	1.809933	1.167645	0.0011
bin.279	0.439166	5.443399	0.015699	1.715394	0.297654	0.185052
bin.82	1.418991	2.012667	0.015383	0.387526	4.210542	0.275275
bin.90	0.005499	0.300692	1.35853	0.0	0.0	0.229982
bin.63	0.1583945	0.651138	0.0	0.0122005	0.060653	0.624703
bin.42	0.178342	0.023986	1.115124	0.011505	0.070012	0.185524
bin.80	0.143081	4.085645	0.001826	2.345631	4.499922	0.054943
bin.3	0.124734	0.060634	0.167279	0.0	0.0	0.625597
bin.241	1.58553	0.120363	0.022926000000000002	0.028138	6.972032	0.958021
bin.68	0.0	0.000446	0.0	3.338982	0.006066	0.0
bin.132	0.348877	0.104711	0.0	0.073941	0.585115	0.0
bin.173	1.43266	3.339366	0.051809	2.38626	11.890905499999999	0.201682
bin.186	0.045984	1.540418	0.000344	0.004686	1.754237	0.000858
bin.38	0.026781	1.179765	0.008958	0.007174	5.951003	0.003441
bin.33	0.001734	1.114263	0.000453	0.114274	2.386473	0.00081
bin.281	1.14794	1.203377	0.013399	0.612646	2.275605	1.709942
bin.235	0.947513	1.300772	0.0051565	0.001855	1.573122	0.002991
bin.232	0.012387	5.55515	0.0	0.252094	1.648156	0.000265
bin.260	0.030933	10.376927	0.0	0.101445	0.691473	0.0
bin.230	0.013914	0.017149	0.0	2.710333	0.012595	0.000356
bin.203	0.0	0.029745	0.0	0.369181	0.959971	0.0
bin.14	0.032132	0.009206	0.583404	0.001203	0.002206	1.158773
bin.191	30.751932	0.005611	2.086156	2.124399	0.400743	11.06882
bin.149	0.001853	0.015064	0.0	15.945469	0.004651	0.001298
bin.216	0.683234	0.06609	0.04562	0.077812	0.085701	4.369129
bin.27	0.451799	0.315101	0.082434	0.007749	0.291067	1.752401
bin.44	0.0	0.0	0.0	1.44918	0.0	0.0
bin.97	0.038409	0.206889	0.0	0.019476	0.0075195	0.995365
bin.275	0.001873	0.046303	0.0	4.698411	0.122273	0.0
bin.146	4.821378	1.037574	0.033413	3.808045	5.235066	0.076828
bin.184	3.01301	0.076294	0.335378	0.193057	1.376035	0.111711
bin.224	0.09431	0.246379	19.472648	0.002913	0.019475	4.708805
bin.137	0.245111	0.304553	0.349487	0.0	0.091502	0.392932
bin.156	0.337097	1.456908	0.012033	0.104994	4.311658	0.15934
bin.245	0.112344	0.340544	1.807429	0.016567	0.011791	1.509071
bin.172	0.781194	0.265949	0.0	0.060159	0.498167	0.00641
bin.124	0.0	1.0280615	0.0	0.237016	0.348182	0.0
bin.200	0.0085895	3.4426315	0.0	0.0	0.0039775	0.087181
bin.153	2.965966	1.518773	0.013715	0.021023	0.81913	0.467842
bin.48	0.211043	0.015025	0.0	0.125021	0.954812	0.009015
